Gene,logFC,logCPM,p value,FDR
PIK3R1,-1.727349658,6.636718253,1.31E-158,4.35E-157
FAM78A,1.51086937,7.036702592,7.53E-158,2.49E-156
CTR9,-1.756790306,5.843343291,3.07E-157,1.01E-155
WTIP,2.638062646,4.363758803,3.43E-157,1.13E-155
KPNA6,-1.429429886,7.923072826,1.07E-156,3.50E-155
SLC6A3,-3.67150606,3.720460887,2.22E-156,7.26E-155
STC2,1.486480233,7.615444767,2.53E-156,8.26E-155
SLTM,-1.45524907,8.192465423,3.35E-156,1.09E-154
PIM1,1.42609122,8.296416295,6.51E-156,2.12E-154
EFNA1,1.484267163,7.822501331,9.91E-156,3.21E-154
ATP2B3,-2.900819676,3.850611239,3.02E-155,9.76E-154
OPN3,-1.377725764,8.096046054,3.33E-155,1.07E-153
FRMPD2,3.950122197,3.204412259,3.34E-155,1.08E-153
ADAM19,-1.45442465,9.479464701,5.44E-155,1.75E-153
JUND,-1.538811004,10.01564815,8.47E-155,2.71E-153
DPP4,-2.095916225,6.138280356,8.83E-155,2.82E-153
FZD5,1.401519144,8.817772238,2.73E-154,8.70E-153
MISP,-2.583914304,4.048369846,4.74E-154,1.51E-152
MT4,-6.607445177,2.663070029,7.67E-154,2.43E-152
KCNK5,1.864743007,5.471112881,7.97E-154,2.52E-152
C15orf48,-4.219287686,3.003978486,8.99E-154,2.84E-152
PTN,1.695734115,6.68972087,1.77E-153,5.57E-152
KLHL30,2.460847437,4.933708619,2.93E-153,9.19E-152
PI4KB,-1.554718636,6.917219689,3.10E-153,9.72E-152
SERP1,-1.419851013,8.630288931,3.82E-153,1.19E-151
SURF4,-1.425819101,10.03650498,3.96E-153,1.23E-151
ZCCHC6,-1.486255449,7.193981654,4.03E-153,1.26E-151
CDC6,-1.43342923,7.564277414,1.05E-152,3.26E-151
TAPBP,1.62984653,8.088257275,2.16E-152,6.69E-151
LGR4,-1.487436906,8.747356055,4.36E-152,1.35E-150
SLC28A3,2.998081179,3.886658329,7.47E-152,2.30E-150
GPR160,-1.941693431,5.956636169,1.00E-151,3.08E-150
ENTPD8,-4.384038812,3.533543337,1.20E-151,3.68E-150
CSNK2A2,-1.740844114,7.456689901,1.24E-151,3.80E-150
EIF4G2,-1.369291936,11.03899963,2.56E-151,7.82E-150
ALDH2,1.818071601,5.815214117,4.43E-150,1.35E-148
TACSTD2,1.687189804,6.822483373,4.73E-150,1.44E-148
SLC4A8,2.116175813,5.296478803,1.19E-149,3.62E-148
BCL2,-2.239817011,4.890874326,2.71E-149,8.20E-148
NECTIN1,2.078839457,5.199138768,4.58E-149,1.38E-147
MAST4,-1.807085857,6.437437196,5.67E-149,1.71E-147
KLF4,-2.051625155,5.525571412,9.65E-149,2.90E-147
CCBE1,2.349683857,4.927310834,1.07E-148,3.22E-147
SIAH2,-1.466448471,7.434950548,4.88E-148,1.46E-146
SEMA7A,-1.507273991,8.843969782,1.36E-147,4.07E-146
MYL7,3.389842208,3.40972843,1.43E-147,4.27E-146
ZCCHC8,-1.608805492,6.690207124,2.13E-147,6.34E-146
PART1,-3.324508947,3.49075149,2.26E-147,6.71E-146
